,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Lionel Messi Barcelona,35, AM(CR),FW,29(2),2508,0.5,0.1,0.4,-,-,0.2,-,-,8.34
1,Cristiano Ronaldo Real Madrid,37, M(L),FW,30,2545,0.6,0.1,0.7,-,0.5,0.2,-,-,8.27
2,Sergio Álvarez Celta Vigo,36, GK,,3,270,-,-,-,-,0.7,-,-,-,8.26
3,Gareth Bale Real Madrid,33, M(CLR),FW,24(3),2073,0.9,0.7,0.7,-,0.3,0.1,0.1,-,7.75
4,Ivan Rakitic Sevilla,34, M(C),,29(4),2676,1.7,1.8,0.8,-,0.8,0.7,0.2,-,7.61
5,Gabi Atletico,39, M(C),,35(1),3119,3.8,2.2,1.7,-,0.9,1.8,0.3,-,7.58
6,Alexis Sánchez Barcelona,33, M(CLR),FW,27(7),2386,1.7,0.4,1,-,0.2,0.4,-,-,7.54
7,Neymar Barcelona,30, AM(CLR),FW,19(7),1742,0.8,0.3,1.1,-,0.2,0.3,-,-,7.51
8,Tiago Atletico,41, M(C),,21(1),1866,3.5,2.6,1.5,-,2.5,1,0.2,-,7.49
9,Gerard Piqué Barcelona,35, D(C),,26,2311,2.1,2,1,0.8,5.5,0.5,0.5,-,7.49
10,Javi Flores Elche,36, Midfielder,,1,75,-,2.0,-,-,-,-,1,-,7.48
11,Sergio Ramos Real Madrid,36, D(CR),,32,2759,2.3,2.3,1.7,0.6,4.4,0.3,0.5,-,7.47
12,Carles Puyol Barcelona,44, D(C),,5,429,0.8,2.4,0.2,-,6,-,0.2,-,7.46
13,Ángel Di María Real Madrid,34, M(CLR),FW,27(7),2384,1.3,0.6,0.7,-,0.1,1.2,0.1,-,7.46
14,Diego Godín Atletico,36, D(C),,34,3060,1.8,2.6,1.4,0.1,7.1,0.4,0.3,-,7.44
15,Karim Benzema Real Madrid,34, FW,,34(1),2779,0.5,0.1,0.9,-,0.3,0.1,0.1,-,7.44
16,Dani Alves Barcelona,39, D(R),M(CR),26(1),2388,3.1,2.0,2,0.1,1.4,1.3,-,-,7.44
17,Felipe Mattioni Espanyol,34, D(R),,2,180,3,4.0,2,0.5,4,0.5,1,-,7.44
18,Federico Fazio Sevilla,35, D(C),,27,2387,1.2,3.1,0.9,0.4,7.3,0.5,0.7,-,7.43
19,Carlos Vela Real Sociedad,33, M(CLR),FW,35(2),3116,0.9,0.3,1.3,-,0.2,0.4,-,-,7.42
20,Pepe Real Madrid,39, D(C),,30,2700,1.5,2.5,0.5,0.5,5.1,0.3,0.8,-,7.42
21,Isco Real Madrid,30, M(CLR),FW,23(9),2001,1.2,0.6,0.7,-,0.1,0.7,-,-,7.41
22,Ander Herrera Athletic Bilbao,33, M(C),,31(2),2577,3.0,1.0,1.5,-,0.8,0.8,0.2,-,7.4
23,Diego Costa Atletico,34, FW,,34(1),2965,0.6,0.2,1.8,-,0.5,0.3,0.1,-,7.4
24,Daniel Parejo Valencia,33, M(C),,28(3),2423,2.2,1.0,1.0,-,0.8,0.9,0.1,-,7.39
25,Marc Bartra Barcelona,31, D(CR),DMC,17(3),1590,2.7,2.9,0.9,0.2,3.5,0.8,0.6,-,7.39
26,Koke Atletico,30, M(CLR),,33(3),2818,2.7,0.9,1.1,-,1.1,1.9,0.3,-,7.39
27,Rafinha Celta Vigo,30, M(CLR),,27(5),2437,2.3,1.3,0.9,-,0.8,0.8,0.2,-,7.36
28,Andrés Iniesta Barcelona,38, M(CL),,27(8),2487,1.4,0.7,0.6,-,0.4,0.3,0.1,-,7.34
29,Edu Albácar Elche,42, D(L),,18,1588,2.9,2.2,1.2,0.3,5.3,0.9,0.2,-,7.34
30,Cesc Fàbregas Barcelona,35, M(CL),FW,28(7),2446,1.3,0.5,1.2,-,0.6,0.7,0.1,-,7.32
31,Aritz Aduriz Athletic Bilbao,41, FW,,26(5),2410,0.5,0.2,1.9,-,0.8,0.2,0.2,-,7.32
32,Luka Modric Real Madrid,37, M(C),,29(5),2651,2.1,1.4,1,-,0.4,0.4,0.3,-,7.31
33,Javier Manquillo Atletico,28, D(LR),M(R),3,270,4.7,1,1.3,-,5.0,-,0.7,-,7.3
34,Gurpegi Athletic Bilbao,42, D(C),M(C),27,2386,2.9,3.1,1,1.1,6.2,1.1,0.3,-,7.28
35,Marcelo Real Madrid,34, D(L),M(L),24(4),2176,2.5,1.3,0.7,0.1,1.5,0.5,0.1,-,7.28
36,Adriano Barcelona,38, D(CLR),M(L),24(2),2119,1.8,2.2,1.5,0.2,2.2,0.3,0.1,-,7.26
37,Filipe Luís Atletico,37, D(L),,32,2879,4.1,1.6,1,0.1,1.8,0.6,0.3,1,7.25
38,Keylor Navas Levante,35, GK,,37,3250,0.1,0.1,0.1,-,1.1,-,-,-,7.24
39,Javi Jiménez Levante,35, Goalkeeper,,1(1),168,-,-,-,-,0.5,-,-,-,7.24
40,Joseba Zaldua Real Sociedad,30, D(R),,10,890,2.3,2.6,1.6,0.4,3.8,0.6,0.1,-,7.24
41,Asier Riesgo Osasuna,39, GK,,1(1),119,-,-,-,-,1.0,-,-,-,7.23
42,Iker Muniain Athletic Bilbao,29, AM(CLR),,32(3),2730,2,0.5,0.8,-,0.2,0.7,-,-,7.23
43,Antoine Griezmann Real Sociedad,31, AM(CLR),FW,31(4),2666,1.5,0.9,1,-,1.0,0.4,-,-,7.22
44,Sergio Busquets Barcelona,34, DMC,,30(2),2656,2.5,1.7,0.8,0.1,1.4,1.2,0.2,-,7.21
45,Daniel Carvajal Real Madrid,30, D(R),,25(6),2236,2.4,2,1.5,0.1,1.5,0.5,0.3,-,7.21
